ModUi/&AddAllToStore	Acrescentar tudo para armazenar
ModUi/&EnableDungeonMakerModdedContent	Habilitar Dungeon Maker Pro <b><i><color=#C04040E0>[Requires Restart]</color></i></b>\n\ninclui salas planas, tamanhos de masmorra 150x150 & 200x200 e sem folhos misturando ativos de todos os ambientes\nvocê deve ter pelo menos uma sala ao ar livre se você escolher um ambiente ao ar livre
ModUi/&EnableEpicPointsAndArray	Habilitar um sistema épico de compra de 35 pontos e matriz <i><color=#FFFF00>[17,15,13,12,10,8]</cor><</i>b>>>>i><color=#C04040E0>[Requer Reinício]</cor></i></b>
ModUi/&EnableExtraHighLevelMonsters	Ativar monstros adicionais de alto nível (+20 CR) para as campanhas de nível 3 e 4 <b><i><color=#C04040E0>[Requer Reinício]</cor></i></b>
ModUi/&EnableFeatsAtEvenLevels	Permitir a seleção de proezas nos níveis de classe 2, 6, 10 e 14
ModUi/&EnableFlexibleBackgrounds	Habilitar fundos flexíveis <i><color=#FFFF00>[selecionar habilidade e proficiência de ferramentas a partir de fundos]</cor></i>
ModUi/&EnableFlexibleRaces	Habilitar as raças flexíveis <i><color=#FFFFFF00>[atribuir pontos de pontuação de habilidade em vez dos padrões raciais]</cor></i>
ModUi/&EnableHotkeyDebugOverlay	Habilitar <color=#00FFFF>CTRL-SHIFT-(D</color>)ebug overlay
ModUi/&EnableHotkeyToggleHud	Habilitar <color=#00FFFF>CTRL-SHIFT-(H</color>)ud para alternar a visibilidade de todos os painéis UI
ModUi/&EnableHotkeyToggleIndividualHud	Habilitar <color=#00FFFF>CTRL-SHIFT-(C</color>)ontrol Panel, <color=#00FFFFFF>CTRL-SHIFT-(L</color>)og, <color=#00FFFFFF>CTRL-SHIFT-(M</color>)ap e <color=#00FFFFFF>CTRL-SHIFT-(P</color>)arty para alternar a visibilidade de cada painel UI
ModUi/&EnableHotkeyZoomCamera	Habilitar <color=#00FFFFFF>CTRL-SHIFT-(Z</color>)oom camera <i><color=#FFFFFF00>[útil ao tirar screenshots de masmorra para publicação]</color></i>
ModUi/&EnableIgnoreCtrlClickOnCriticalHit	<i>+ só contornar se não for um golpe crítico</i>
ModUi/&EnableInventoryFilteringAndSorting	Permitir a filtragem e classificação do inventário
ModUi/&EnableInventoryTaintNonProficientItemsRed	<i>+ Taint in red qualquer item com o qual o herói não é proficiente</i>
ModUi/&EnableInvisibleCrownOfTheMagister	Ocultar a <color=#FFA500>Crown of the Magister</cor> no jogo UI
ModUi/&EnableLevel20	Habilitar nível 20 <b><<i><color=#C04040E0>[Requires Restart]</color></i></b>
ModUi/&EnableLogDialoguesToConsole	Habilitar diálogos de registro para console de jogos durante seqüências narrativas
ModUi/&EnableMinInOutAttributes	A capacidade de impor notas mínimas de entrada e saída de pré-requisitos
ModUi/&EnableOnTheFlyTranslations	Permitir traduções de conteúdo personalizadas em tempo real
ModUi/&EnableRelearnSpells	Pode selecionar canções ou feitiços já aprendidos de outras classes
ModUi/&EnableRespec	Habilitar o RESPEC e nivelar o RESPEC após ações de descanso
ModUi/&EnablesAsiAndFeat	Permitir o aumento da pontuação de ambos os atributos e a seleção de proezas <i><color=#FFFF00>[em vez de uma escolha exclusiva]</cor></i>
ModUi/&EnableSaveByLocation	Permitir salvar por campanhas / locais
ModUi/&EnableShortRestRechargeOfArcaneWeaponOnWizardArcaneFighter	Permitir recarga de descanso curto de <color=#FFA500>Arcane Weapon</cor> on <color=#FFA500>Wizard</cor> Arcane Fighter
ModUi/&EnableTeleportParty	Habilitar <color=#00FFFFFF>CTRL-SHIFT-(T</color>)eleport party <i><color=#FFFFFF00>[você pode quebrar missões ou mapas se você se teletransportar para um lugar desconhecido]</color></i>
ModUi/&EnableTogglesToOverwriteDefaultTestParty	Habilitar alternadores no pool de personagens para definir sua peça padrão e testar a festa
ModUi/&EnableUnityExplorer	Habilitar a Unidade Exploradora UI
ModUi/&EnableUnlimitedArcaneRecoveryOnWizardSpellMaster	Habilitar ilimitado <color=#FFA500>Arcane Recovery</color> on <color=#FFA500>Wizard</color> Spell Master\n<i><color=#FFFFFF00>Deve ser habilitado quando a habilidade tiver usos disponíveis ou antes da criação de caracteres</color></i>
ModUi/&EnableUpcastConjureElementalAndFey	Habilitar upcast de <color=#FFA500>Conjure Elemental</cor>, <color=#FFA500>Conjure Fey</cor>
ModUi/&Encounters	Encontros
ModUi/&ExecuteBatchTranslations	. Traduzir em lote para criar um novo arquivo de campanha traduzido\n. As campanhas são salvas de volta ao pool com prefixos por idioma de destino
ModUi/&ExpandAll	Expandir tudo
ModUi/&FactionHelp	<color=#C04040E0>Load um jogo de campanha oficial para modificar as relações entre facções...</cor>
ModUi/&FactionRelations	<color=#FFFF00>Faction Relations:</color>
ModUi/&FasterTimeModifier	<color=#FFFFFFFF>Modificador de tempo de jogo ao pressionar a barra de espaço</cor>
ModUi/&Feats	<color=#FFFF00>Feats</cor>
ModUi/&FeatsFightingStyles	Feats & Fighting Styles
ModUi/&FightingStyles	<color=#FFFF00>Estilos de luta</cor>
ModUi/&FixSorcererTwinnedLogic	Fixar <color=#FFA500>Sorcerer</cor> uso metamágico geminado <i><color=#FFFFFF00>[um feitiço deve ser incapaz de atingir mais de uma criatura no nível atual do feitiço]</cor></i>
ModUi/&FollowCharactersOnTeleport	A câmera segue caráter(s) teleportado(s)
ModUi/&FullyControlConjurations	Conjugações de controle total <i><color=#FFFF00>[animais, elementais, etc]</cor></i>
ModUi/&Gameplay	Jogabilidade
ModUi/&GameUi	Jogo UI
ModUi/&General	<color=#FFFF00>Geral:</cor>
ModUi/&GeneralMenu	Geral
ModUi/&HideExitAndTeleporterGizmosIfNotDiscovered	Ocultar saídas e teletransportadores efeitos visuais se ainda não forem descobertos
ModUi/&HideMonsterHitPoints	Exibir a saúde dos monstros em etapas de 25% / 50% / 75% / 100% em vez de pontos exatos de acerto
ModUi/&HiderArmor	Esconder armadura
ModUi/&House	<color=#FFFF00>Casa:</cor>
ModUi/&IncreaseSenseNormalVision	<color=#FFFFFFFFFF>Increase <color=#FFA500>Sense Normal Vision</color> range to enable long range attacks</color>>i><color=#FFFFFF00>[40 é ideal para evitar que inimigos se juntem de muito longe]</color></i>
ModUi/&IncreaseSenseNormalVisionHelp	<b><i><color=#C04040E0>[Requires Restart]</color></i></b>
ModUi/&InitialChoices	<color=#FFFFFF00>Seleções iniciais:</cor>
ModUi/&Interface	Interface
ModUi/&InventoryAndItems	<color=#FFFFFF00>Inventário e itens:</cor>
ModUi/&InvertAltBehaviorOnTooltips	Inverter <color=#00FFFF>ALT</cor>comportamento chave nas pontas das ferramentas
ModUi/&ItemInDm	Itens em DM
ModUi/&Items	<color=#FFFF00>Items:</cor>
ModUi/&ItemsCraftingMerchants	Itens, Artesanato e Comerciantes
ModUi/&ItemsHelp1	<color=#C04040E0>Você deve ter a tela de inspeção de caracteres aberta para adicionar itens aos heróis...</cor>
ModUi/&ItemsHelp2	. Pressione + para adicionar itens ao contêiner no solo no painel de inspeção
ModUi/&KeyboardMouse	Teclado e Rato
ModUi/&MakeAllMagicStaveArcaneFoci	Faça todas as pautas mágicas arcanas de focos de fócus <i><color=#FFFF00>[exceto para <color=#FFA500>Pauta de Cura</cor> que é Universal]</cor></i> <b>>>i><color=#C04040E0>[Requer Reinício]</cor></i></b>
ModUi/&MarkInvisibleTeleportersOnLevelMap	<i>+ Marcar também a localização dos teletransportadores invisíveis no mapa de nível após a descoberta</i>
ModUi/&MaxAllowedClasses	<color=#FFFFFFFF>Classes máximas permitidas</cor> <b><i><color=#C04040E0>[Requires Restart]</color></i></b>
ModUi/&MaxBackupFilesPerLocationCampaign	<color=#FFFFFFFF>Max. arquivos de backup por local ou campanha</cor>
ModUi/&MaxBackupHelp	. Os arquivos de backup são salvos em <i>>color=#FFFF00>GAME_FOLDER/Mods/SolastaCommunityExpansion/DungeonMakerBackups</color></i>
ModUi/&MaxSpellLevelsPerLine	<color=#FFFFFFFF>Níveis máximos por linha no Painel Ortográfico</cor>
ModUi/&Merchants	<color=#FFFF00>Merchants:</cor>
ModUi/&Monsters	<color=#FFFFFF00>Monsters:</cor>
ModUi/&Multiclass	<color=#FFFFFF00>Multiclasse:</cor>
ModUi/&MulticlassKeyHelp	<color=#00FFFF>SHIFT</cor> clique em um feitiço consome um feitiço em vez do feitiço mágico padrão do pacto
ModUi/&MultiplyTheExperienceGainedBy	<color=#FFFFFFFF>Multiplicar a experiência adquirida por</cor> <color=#C04040E0>[%]</cor>
ModUi/&NoExperienceOnLevelUp	Não é necessária experiência para Nivelar
ModUi/&NotAvailable	Ainda não há {0} disponível neste mod...
ModUi/&OfferAdditionalLoreFriendlyNames	Ofereça nomes adicionais de amistosos na criação de personagens
ModUi/&OnlyShowMostPowerfulUpcastConjuredElementalOrFey	<i>+ Mostrar apenas as criaturas mais poderosas da lista de conjugação</i>
ModUi/&OverrideMinMaxLevel	Substituir os níveis mínimo e máximo necessários ao iniciar novas aventuras
ModUi/&OverridePartySize	<color=#FFFFFFFF>Overdar o tamanho da festa em aventuras personalizadas</cor>
ModUi/&OverrideRogueConArtistImprovedManipulationSpellDc	<color=#FFFFFFFF>Override <color=#FFA500>Rogue</cor> Con Artist <color=#FFA500>Manipulação melhorada</cor> Spell DC</cor>
ModUi/&OverrideWizardMasterManipulatorArcaneManipulationSpellDc	<color=#FFFFFFFF>Override <color=#FFA500>Wizard</color> Manipulador Mestre <color=#FFA500>Manipulador de Câmbio </cor>Feitiço DC</cor>
ModUi/&Patches	<color=#FFFFFF00>Patches:</cor>
ModUi/&PrimedItems	Itens em bruto
ModUi/&Progression	<color=#FFFF00>Progressão:</cor>
ModUi/&QuickCastLightCantripOnWornItemsFirst	A faixa de luz de fundição rápida usa primeiro os itens gastos na cabeça ou no tronco
ModUi/&Races	<color=#FFFF00>Raças</cor>
ModUi/&RacesClassesSubclasses	Raças, Classes e Subclasses
ModUi/&RecipeCost	<color=#FFFFFFFF>Custo da receita</cor>
ModUi/&RecipesInDm	Receitas em DM
ModUi/&RelicForgeries	Perigos de relíquias
ModUi/&RemoveAttunementRequirements	Remover requisitos de sintonia <b><i><color=#C04040E0>[Requires Restart]</color></i></b>
ModUi/&RemoveBugVisualModels	Substituir modelos semelhantes a bugs por visuais alternativos no jogo <b><i><color=#C04040E0>[Requires Restart]</color></i></b>
ModUi/&RemoveIdentifcationRequirements	Remover requisitos de identificação <b><i><color=#C04040E0>[Requires Restart]</color></i></b>
ModUi/&RestockAntiquarians	Repovoar Antiquários <i><color=#FFFF00>[Halman Summer]</color></i>
ModUi/&RestockArcaneum	Repovoar Arcaneum <i>> cor=#FFFF00>[Heddlon Surespell]</cor></i>
ModUi/&RestockCircleOfDanantar	Círculo de Danantar <i><color=#FFFF00>[Joriel Foxeye]</cor></i>
ModUi/&RestockHelp	. Substituir a inadimplência para forçar todo o estoque de um comerciante a ser reabastecido ao longo do tempo (excluindo Manuais e Tomes)\n. Note que alguns itens podem levar até 7 dias de jogo para reabastecer
ModUi/&RestockTowerOfKnowledge	Restock Tower of Knowledge <i><color=#FFFF00>[Maddy Greenisle]</color></i>
ModUi/&Rules	Regras
ModUi/&ScaleMerchantPricesCorrectly	Escala de preços do comerciante corretamente / exatamente
ModUi/&SelectAll	Selecione Todos
ModUi/&SelectSuggested	Selecione Sugerido
ModUi/&Services	Serviços
ModUi/&SetBeltOfDwarvenKindBeardChances	<color=#FFFFFFFF>Definir as chances de uma barba aparecer enquanto usa a</cor> <color=#FFA500>Belt of Dwarvenkind</cor>
ModUi/&ShowCraftingRecipeInDetailedTooltips	Mostrar receita de artesanato em dicas de ferramentas detalhadas
ModUi/&ShowDescriptions	Mostrar descrições
ModUi/&SpellInstructions	. Você pode atribuir cada feitiço individualmente a qualquer lista de feitiços ou simplesmente selecionar o conjunto sugerido.
ModUi/&SpellLevelFilter	<b><<i><color=#FFFFFFFF> filtro de nível de ortografia</cor> <color=#FFFFFF00>[-1 para exibir todos os feitiços]</cor></i></b>
ModUi/&Spells	<color=#FFFF00>Spells:</cor>
ModUi/&SpellsMenu	Feitiços
ModUi/&SRD	<color=#FFFFFF00>SRD:</cor>
ModUi/&StockGorimStoreWithAllNonMagicalClothing	Estoca a loja do Gorim com todas as roupas não mágicas <b><i><color=#C04040E0>[Requires Restart]</color></i></b>
ModUi/&StockHugoStoreWithAdditionalFoci	Estoques da loja do Hugo com <color=#FFA500>Banda de identificação</cor>, <color=#FFA500>Arcane Staff</cor>, <color=#FFA500>Druid Neck</cor>, <color=#FFA500>Staffff</cor> e <color=#FFA500>Club</cor> definir como itens focos
ModUi/&Subclasses	<color=#FFFFFF00>Subclasses</cor>
ModUi/&TargetLanguage	Idioma de destino
ModUi/&Tools	Ferramentas
ModUi/&TotalFeatsGrantedFistLevel	<color=#FFFFFFFF>Total feats granted at first level</color>
ModUi/&Translate	Traduzir
ModUi/&TranslateCancel	Cancelar {0} em {1}
ModUi/&TranslationEngine	Motor de tradução
ModUi/&Translations	Traduções
ModUi/&UnleashEnemyAsNpc	Permitir que os monstros sejam selecionados em gadgets NPC <i><color=#FFFFFF00>[pressione <color=#00FFFFFF>CTRL</color> enquanto clica em Select on gadget panel]</color></i>
ModUi/&UnleashNpcAsEnemy	Permitir que os NPCs sejam selecionados em gadgets monstruosos <i><color=#FFFFFF00>[pressione <color=#00FFFFFF>CTRL</color> enquanto clica em Select on gadget panel]</color></i>
ModUi/&UnlockAllNpcFaces	Desbloquear todas as faces do NPC
ModUi/&UnlockEyeStyles	Desbloquear estilos oculares
ModUi/&UnlockGlowingColorsForAllMarksAndTatoos	Desbloquear cores brilhantes para todas as marcações e tatuagens
ModUi/&UnlockGlowingEyeColors	Desbloquear as cores dos olhos brilhantes
ModUi/&UnlockMarkAndTatoosForAllCharacters	Desbloquear marcações e tatuagens para todos os caracteres
ModUi/&UsableDevice	<color=#FFFFFF00>Usable Device</color>
ModUi/&UseOfficialAdvantageDisadvantageRules	Usar regras oficiais de vantagem / desvantagem
ModUi/&Visuals	<color=#FFFFFF00>Visuais:</cor>
ModUi/&Weapon	<color=#FFFFFF00>Weapons</cor>
ModUi/&AllowCrossbowsToUseBowFeatures	Permitir que as bestas se beneficiem das características dos arcos
ModUi/&RemoveConcentrationRequirementsFromAnySpell	Remover a necessidade de concentração de qualquer feitiço <b><i><color=#C04040E0>[Requires Restart]</color></i></b>
